scenario_id,detector_id,time_s,background_counts,threshold_3sigma_counts,threshold_5sigma_counts,threshold_crossing_3sigma,threshold_crossing_5sigma
S1,D001,0.0,7279.10755861997,7454.55,7624.25,False,False
S1,D001,60.0,7188.558621638191,7454.55,7624.25,False,False
S1,D001,120.0,7106.8541214258275,7454.55,7624.25,False,False
S1,D001,166.666667,7302.610262002101,7454.55,7624.25,False,False
S1,D001,180.0,7071.022826065413,7454.55,7624.25,False,False
S1,D001,240.0,7168.952911671181,7454.55,7624.25,False,False
S1,D001,250.0,7207.427477300942,7454.55,7624.25,False,False
S1,D001,300.0,7142.851348003498,7454.55,7624.25,False,False
S1,D001,333.333333,7173.509776078939,7454.55,7624.25,False,False
S1,D001,360.0,7255.301092012072,7454.55,7624.25,False,False
S1,D001,420.0,7208.644803434955,7454.55,7624.25,False,False
S1,D001,480.0,7379.740136472572,7454.55,7624.25,False,False
S1,D001,500.0,7185.175814848051,7454.55,7624.25,False,False
S1,D001,540.0,7195.501079388541,7454.55,7624.25,False,False
S1,D001,600.0,7299.924061542916,7454.55,7624.25,False,False
S1,D001,660.0,7287.740811386168,7454.55,7624.25,False,False
S1,D001,666.666667,7315.1468921825435,7454.55,7624.25,False,False
S1,D001,720.0,7177.645446282412,7454.55,7624.25,False,False
S1,D001,780.0,7255.691586065746,7454.55,7624.25,False,False
S1,D001,833.333333,7110.819586581847,7454.55,7624.25,False,False
S1,D001,840.0,7174.955929620879,7454.55,7624.25,False,False
S1,D001,900.0,7148.783306109714,7454.55,7624.25,False,False
S1,D001,960.0,7236.279546748905,7454.55,7624.25,False,False
S1,D001,1000.0,7298.773135982938,7454.55,7624.25,False,False
S1,D001,1020.0,7184.430579138871,7454.55,7624.25,False,False
S1,D001,1080.0,7194.1023116929455,7454.55,7624.25,False,False
S1,D001,1140.0,7282.012636940185,7454.55,7624.25,False,False
S1,D001,1166.666667,7147.56947849036,7454.55,7624.25,False,False
S1,D001,1200.0,7310.908990390373,7454.55,7624.25,False,False
S1,D002,0.0,7209.079231065315,7454.55,7624.25,False,False
S1,D002,60.0,7061.549695578204,7454.55,7624.25,False,False
S1,D002,120.0,7312.154387544012,7454.55,7624.25,False,False
S1,D002,166.666667,7207.015951046609,7454.55,7624.25,False,False
S1,D002,180.0,7100.149446939059,7454.55,7624.25,False,False
S1,D002,240.0,7298.116253802349,7454.55,7624.25,False,False
S1,D002,250.0,7283.255113244916,7454.55,7624.25,False,False
S1,D002,300.0,7076.947761349303,7454.55,7624.25,False,False
S1,D002,333.333333,7294.1617322467755,7454.55,7624.25,False,False
S1,D002,360.0,7148.086524797903,7454.55,7624.25,False,False
S1,D002,420.0,7116.944495708529,7454.55,7624.25,False,False
S1,D002,480.0,7262.238353964249,7454.55,7624.25,False,False
S1,D002,500.0,7137.554398706017,7454.55,7624.25,False,False
S1,D002,540.0,7075.0746362159425,7454.55,7624.25,False,False
S1,D002,600.0,7148.70080873006,7454.55,7624.25,False,False
S1,D002,660.0,7162.459023845698,7454.55,7624.25,False,False
S1,D002,666.666667,7196.474456858732,7454.55,7624.25,False,False
S1,D002,720.0,7130.98301449199,7454.55,7624.25,False,False
S1,D002,780.0,7216.960539193692,7454.55,7624.25,False,False
S1,D002,833.333333,7225.951572485099,7454.55,7624.25,False,False
S1,D002,840.0,7196.4399118300535,7454.55,7624.25,False,False
S1,D002,900.0,7196.249797417469,7454.55,7624.25,False,False
S1,D002,960.0,6980.431417728436,7454.55,7624.25,False,False
S1,D002,1000.0,7216.577250027981,7454.55,7624.25,False,False
S1,D002,1020.0,7112.99802077953,7454.55,7624.25,False,False
S1,D002,1080.0,7059.676039867691,7454.55,7624.25,False,False
S1,D002,1140.0,7184.082144585749,7454.55,7624.25,False,False
S1,D002,1166.666667,7054.074776795784,7454.55,7624.25,False,False
S1,D002,1200.0,7210.312724988163,7454.55,7624.25,False,False
S1,D003,0.0,7113.3060138394685,7454.55,7624.25,False,False
S1,D003,60.0,7189.770164650758,7454.55,7624.25,False,False
S1,D003,120.0,7079.108392387743,7454.55,7624.25,False,False
S1,D003,166.666667,7166.28482029958,7454.55,7624.25,False,False
S1,D003,180.0,7195.657443229425,7454.55,7624.25,False,False
S1,D003,240.0,7326.156441072298,7454.55,7624.25,False,False
S1,D003,250.0,7326.099161473389,7454.55,7624.25,False,False
S1,D003,300.0,7248.032189053283,7454.55,7624.25,False,False
S1,D003,333.333333,7247.065308996301,7454.55,7624.25,False,False
S1,D003,360.0,7225.713517571305,7454.55,7624.25,False,False
S1,D003,420.0,7236.52286754453,7454.55,7624.25,False,False
S1,D003,480.0,7176.048892706028,7454.55,7624.25,False,False
S1,D003,500.0,7104.189873365794,7454.55,7624.25,False,False
S1,D003,540.0,7345.180503825492,7454.55,7624.25,False,False
S1,D003,600.0,7224.9466878390685,7454.55,7624.25,False,False
S1,D003,660.0,7018.937612937091,7454.55,7624.25,False,False
S1,D003,666.666667,7151.0708115826255,7454.55,7624.25,False,False
S1,D003,720.0,7238.177982140358,7454.55,7624.25,False,False
S1,D003,780.0,7139.80709199376,7454.55,7624.25,False,False
S1,D003,833.333333,7102.951596203654,7454.55,7624.25,False,False
S1,D003,840.0,7054.902613308291,7454.55,7624.25,False,False
S1,D003,900.0,7259.289915984536,7454.55,7624.25,False,False
S1,D003,960.0,7030.716025084591,7454.55,7624.25,False,False
S1,D003,1000.0,7265.99134714983,7454.55,7624.25,False,False
S1,D003,1020.0,7021.408262927385,7454.55,7624.25,False,False
S1,D003,1080.0,7089.273836870334,7454.55,7624.25,False,False
S1,D003,1140.0,7207.924529470819,7454.55,7624.25,False,False
S1,D003,1166.666667,7206.3824303375,7454.55,7624.25,False,False
S1,D003,1200.0,7177.2865742609465,7454.55,7624.25,False,False
S1,D004,0.0,7201.1573705651,7454.55,7624.25,False,False
S1,D004,60.0,7194.678695136264,7454.55,7624.25,False,False
S1,D004,120.0,7221.141012257812,7454.55,7624.25,False,False
