detector_id,time_s,centroid_x_m,centroid_y_m,detector_x_m,detector_y_m,concentration_proxy,arrival_time_s,source_id,scenario_id,weather_id,x_m,y_m,z_m,concentration_Bq_m3,detector_type,response_factor,cost_proxy,uptime_factor,background_mean_counts,background_sigma_counts,integration_time_s,noise_model,seed,net_signal_counts,noise_counts,total_signal_counts,threshold_3sigma_counts,threshold_5sigma_counts,threshold_crossing_3sigma,threshold_crossing_5sigma
D001,0.0,0.0,0.0,500.0,0.0,0.0439369336234074,166.66666666666666,SRC_001,S1,W1,500.0,0.0,1.5,4.388436296465839e-05,NaI_Tl,1000000.0,1.0,0.98,7200.0,84.85,60.0,normal,1001,43.88436296465839,0.0,7243.884362964658,7454.55,7624.25,False,False
D001,60.0,180.0,0.0,500.0,0.0,0.2780373004531941,166.66666666666666,SRC_001,S1,W1,500.0,0.0,1.5,0.0002777046280785,NaI_Tl,1000000.0,1.0,0.98,7200.0,84.85,60.0,normal,1001,277.7046280785,0.0,7477.7046280785,7454.55,7624.25,True,False
D001,120.0,360.0,0.0,500.0,0.0,0.7827045382418681,166.66666666666666,SRC_001,S1,W1,500.0,0.0,1.5,0.0007817680301656,NaI_Tl,1000000.0,1.0,0.98,7200.0,84.85,60.0,normal,1001,781.7680301656001,0.0,7981.7680301656,7454.55,7624.25,True,True
D001,166.666667,500.000001,0.0,500.0,0.0,1.0,166.66666666666666,SRC_001,S1,W1,500.0,0.0,1.5,0.0009988034973218,NaI_Tl,1000000.0,1.0,0.98,7200.0,84.85,60.0,normal,1001,998.8034973218,0.0,8198.8034973218,7454.55,7624.25,True,True
D001,180.0,540.0,0.0,500.0,0.0,0.9801986733067553,166.66666666666666,SRC_001,S1,W1,500.0,0.0,1.5,0.000979025862969,NaI_Tl,1000000.0,1.0,0.98,7200.0,84.85,60.0,normal,1001,979.025862969,0.0,8179.025862969,7454.55,7624.25,True,True
D001,240.0,720.0,0.0,500.0,0.0,0.5460744266397094,166.66666666666666,SRC_001,S1,W1,500.0,0.0,1.5,0.0005454210471257,NaI_Tl,1000000.0,1.0,0.98,7200.0,84.85,60.0,normal,1001,545.4210471256999,0.0,7745.4210471257,7454.55,7624.25,True,True
D001,250.0,750.0,0.0,500.0,0.0,0.4578333617716142,166.66666666666666,SRC_001,S1,W1,500.0,0.0,1.5,0.0004572855629281,NaI_Tl,1000000.0,1.0,0.98,7200.0,84.85,60.0,normal,1001,457.2855629281,0.0,7657.2855629281,7454.55,7624.25,True,True
D001,300.0,900.0,0.0,500.0,0.0,0.1353352832366127,166.66666666666666,SRC_001,S1,W1,500.0,0.0,1.5,0.0001351733542077,NaI_Tl,1000000.0,1.0,0.98,7200.0,84.85,60.0,normal,1001,135.1733542077,0.0,7335.1733542077,7454.55,7624.25,False,False
D001,333.333333,999.999999,0.0,500.0,0.0,0.0439369341726191,166.66666666666666,SRC_001,S1,W1,500.0,0.0,1.5,4.3884363513213e-05,NaI_Tl,1000000.0,1.0,0.98,7200.0,84.85,60.0,normal,1001,43.884363513213,0.0,7243.884363513213,7454.55,7624.25,False,False
D001,360.0,1080.0,0.0,500.0,0.0,0.0149207860690678,166.66666666666666,SRC_001,S1,W1,500.0,0.0,1.5,1.4902933308576464e-05,NaI_Tl,1000000.0,1.0,0.98,7200.0,84.85,60.0,normal,1001,14.902933308576463,0.0,7214.902933308576,7454.55,7624.25,False,False
