scenario_id,detector_id,time_s,n_sigma,threshold_counts,total_signal_counts,threshold_crossing
S1,D001,0.0,3.0,7454.55,7243.884362964658,False
S1,D001,60.0,3.0,7454.55,7477.7046280785,True
S1,D001,120.0,3.0,7454.55,7981.7680301656,True
S1,D001,166.666667,3.0,7454.55,8198.8034973218,True
S1,D001,180.0,3.0,7454.55,8179.025862969,True
S1,D001,240.0,3.0,7454.55,7745.4210471257,True
S1,D001,250.0,3.0,7454.55,7657.2855629281,True
S1,D001,300.0,3.0,7454.55,7335.1733542077,False
S1,D001,333.333333,3.0,7454.55,7243.884363513213,False
S1,D001,360.0,3.0,7454.55,7214.902933308576,False
S1,D001,420.0,3.0,7454.55,7200.730926815327,False
S1,D001,480.0,3.0,7454.55,7200.015947679598,False
S1,D001,500.0,3.0,7454.55,7200.003722194221,False
S1,D001,540.0,3.0,7454.55,7200.0001547898855,False
S1,D001,600.0,3.0,7454.55,7200.000000668358,False
S1,D001,660.0,3.0,7454.55,7200.000000001284,False
S1,D001,666.666667,3.0,7454.55,7200.000000000609,False
S1,D001,720.0,3.0,7454.55,7200.000000000001,False
S1,D001,780.0,3.0,7454.55,7200.0,False
S1,D001,833.333333,3.0,7454.55,7200.0,False
S1,D001,840.0,3.0,7454.55,7200.0,False
S1,D001,900.0,3.0,7454.55,7200.0,False
S1,D001,960.0,3.0,7454.55,7200.0,False
S1,D001,1000.0,3.0,7454.55,7200.0,False
S1,D001,1020.0,3.0,7454.55,7200.0,False
S1,D001,1080.0,3.0,7454.55,7200.0,False
S1,D001,1140.0,3.0,7454.55,7200.0,False
S1,D001,1166.666667,3.0,7454.55,7200.0,False
S1,D001,1200.0,3.0,7454.55,7200.0,False
S1,D001,0.0,5.0,7624.25,7243.884362964658,False
S1,D001,60.0,5.0,7624.25,7477.7046280785,False
S1,D001,120.0,5.0,7624.25,7981.7680301656,True
S1,D001,166.666667,5.0,7624.25,8198.8034973218,True
S1,D001,180.0,5.0,7624.25,8179.025862969,True
S1,D001,240.0,5.0,7624.25,7745.4210471257,True
S1,D001,250.0,5.0,7624.25,7657.2855629281,True
S1,D001,300.0,5.0,7624.25,7335.1733542077,False
