scenario_id,detector_id,n_sigma,first_threshold_crossing_s,threshold_counts
S1,D001,3.0,60.0,7454.55
S1,D001,5.0,120.0,7624.25
S1,D002,3.0,300.0,7454.55
S1,D002,5.0,,7624.25
S1,D003,3.0,,7454.55
S1,D003,5.0,,7624.25
S1,D004,3.0,,7454.55
S1,D004,5.0,,7624.25
S1,D005,3.0,,7454.55
S1,D005,5.0,,7624.25
S1,D006,3.0,,7454.55
S1,D006,5.0,,7624.25
S1,D007,3.0,,7454.55
S1,D007,5.0,,7624.25
S1,D008,3.0,,7454.55
S1,D008,5.0,,7624.25
S1,D009,3.0,,7454.55
S1,D009,5.0,,7624.25
S1,D010,3.0,,7454.55
S1,D010,5.0,,7624.25
S1,D011,3.0,,7454.55
S1,D011,5.0,,7624.25
S1,D012,3.0,,7454.55
S1,D012,5.0,,7624.25
S1,D013,3.0,,7454.55
S1,D013,5.0,,7624.25
S1,D014,3.0,,7454.55
S1,D014,5.0,,7624.25
S1,D015,3.0,,7454.55
S1,D015,5.0,,7624.25
S1,D016,3.0,,7454.55
S1,D016,5.0,,7624.25
S1,D017,3.0,,7454.55
S1,D017,5.0,,7624.25
S1,D018,3.0,,7454.55
S1,D018,5.0,,7624.25
S1,D019,3.0,,7454.55
S1,D019,5.0,,7624.25
S1,D020,3.0,,7454.55
S1,D020,5.0,,7624.25
S1,D021,3.0,,7454.55
S1,D021,5.0,,7624.25
S1,D022,3.0,,7454.55
S1,D022,5.0,,7624.25
S1,D023,3.0,,7454.55
S1,D023,5.0,,7624.25
S1,D024,3.0,,7454.55
S1,D024,5.0,,7624.25
