candidate_source_id,x_m,y_m,Q_hat_Bq_s,J,description,relative_likelihood,normalized_likelihood
CS_00001,-500.0,-500.0,29.718631284026852,91.4159415866826,synthetic inverse modeling grid point,1.4166536379235447e-19,9.343785294410825e-20
CS_00002,-500.0,-450.0,9.852998921621255,91.90721780945069,synthetic inverse modeling grid point,1.1081139057692214e-19,7.30875786436754e-20
CS_00003,-500.0,-400.0,4.000748738418284,92.14004438528681,synthetic inverse modeling grid point,9.863402509216079e-20,6.505578558606143e-20
CS_00004,-500.0,-350.0,1.9873419426503565,92.21317302387962,synthetic inverse modeling grid point,9.509267713539144e-20,6.272002798977599e-20
CS_00005,-500.0,-300.0,1.207457959607613,92.14608660785106,synthetic inverse modeling grid point,9.833649039517128e-20,6.485954140527617e-20
CS_00006,-500.0,-250.0,0.8979106933704876,91.8842800527962,synthetic inverse modeling grid point,1.120895886712972e-19,7.393063641290341e-20
CS_00007,-500.0,-200.0,0.8192345010536829,91.22560604658169,synthetic inverse modeling grid point,1.5580970976914551e-19,1.0276700217290032e-19
CS_00008,-500.0,-150.0,0.9239363517831838,89.51048223739977,synthetic inverse modeling grid point,3.673067603178697e-19,2.4226355784652394e-19
CS_00009,-500.0,-100.0,1.3177998470510415,84.36429477485704,synthetic inverse modeling grid point,4.814035965643584e-18,3.175181092851782e-18
CS_00010,-500.0,-50.0,2.4754534594963373,67.03377012607383,synthetic inverse modeling grid point,2.791161347478292e-14,1.8409589792973148e-14
CS_00011,-500.0,0.0,4.18452127147203,41.96064383392978,synthetic inverse modeling grid point,7.768642540481101e-09,5.123943212659804e-09
CS_00012,-500.0,50.0,2.2530863267772387,78.08711035052839,synthetic inverse modeling grid point,1.110663779963969e-16,7.325576002807083e-17
CS_00013,-500.0,100.0,1.147033346979156,95.77714803661279,synthetic inverse modeling grid point,1.6004412388288574e-20,1.0555988359904795e-20
CS_00014,-500.0,150.0,0.7924527957792595,100.5981976858357,synthetic inverse modeling grid point,1.4366868066190458e-21,9.47591754046346e-22
CS_00015,-500.0,200.0,0.6993453435093089,102.13766721896691,synthetic inverse modeling grid point,6.65381224479987e-22,4.388637514520473e-22
CS_00016,-500.0,250.0,0.7652236935541078,102.71419342899154,synthetic inverse modeling grid point,4.987460464632052e-22,3.2895662354131047e-22
CS_00017,-500.0,300.0,1.0283788252484998,102.94036041119487,synthetic inverse modeling grid point,4.454181706226034e-22,2.93783296150436e-22
CS_00018,-500.0,350.0,1.6923286143959417,102.9980668966976,synthetic inverse modeling grid point,4.327500490619481e-22,2.8542781639324166e-22
CS_00019,-500.0,400.0,3.407418022657213,102.93557935251081,synthetic inverse modeling grid point,4.464842295438349e-22,2.944864338408724e-22
CS_00020,-500.0,450.0,8.396194986467018,102.73629958981634,synthetic inverse modeling grid point,4.932637204164062e-22,3.253406601100282e-22
CS_00021,-500.0,500.0,25.3528165822129,102.3147769408848,synthetic inverse modeling grid point,6.089920937851348e-22,4.0167132021504745e-22
CS_00022,-450.0,-500.0,35.679438995422906,91.30298920756559,synthetic inverse modeling grid point,1.4989632268393437e-19,9.886672494155516e-20
CS_00023,-450.0,-450.0,10.996817349140017,91.88331614083157,synthetic inverse modeling grid point,1.1214362393937632e-19,7.396627631314023e-20
CS_00024,-450.0,-400.0,4.2079205738253505,92.15632944941933,synthetic inverse modeling grid point,9.783415528214317e-20,6.45282175505012e-20
CS_00025,-450.0,-350.0,1.9961403855502595,92.253202862986,synthetic inverse modeling grid point,9.320832533235689e-20,6.147717100657591e-20
CS_00026,-450.0,-300.0,1.1734711888480536,92.2080309611623,synthetic inverse modeling grid point,9.533747795072428e-20,6.288149062235846e-20
CS_00027,-450.0,-250.0,0.855360101051616,91.9771399395147,synthetic inverse modeling grid point,1.0700424504986026e-19,7.05765096401338e-20
CS_00028,-450.0,-200.0,0.7747899006902362,91.37640879673275,synthetic inverse modeling grid point,1.4449343564077867e-19,9.530315688583782e-20
CS_00029,-450.0,-150.0,0.8782882967424877,89.7896110867802,synthetic inverse modeling grid point,3.194602757080168e-19,2.1070557731275812e-19
CS_00030,-450.0,-100.0,1.274528712665475,84.91776016508032,synthetic inverse modeling grid point,3.650277219554468e-18,2.4076037848311806e-18
CS_00031,-450.0,-50.0,2.4845078238886344,67.57377761251018,synthetic inverse modeling grid point,2.1307073623330946e-14,1.4053450741878028e-14
CS_00032,-450.0,0.0,4.439433492265787,39.6936774289706,synthetic inverse modeling grid point,2.4132962543396384e-08,1.5917314895267576e-08
CS_00033,-450.0,50.0,2.2540576819844667,78.87414500887742,synthetic inverse modeling grid point,7.493422234941232e-17,4.942416876596742e-17
CS_00034,-450.0,100.0,1.1069993127774058,96.34695016769498,synthetic inverse modeling grid point,1.2036737037158326e-20,7.939039120764952e-21
CS_00035,-450.0,150.0,0.752592354596705,100.86115578465257,synthetic inverse modeling grid point,1.2596836077477902e-21,8.308462177767267e-22
CS_00036,-450.0,200.0,0.6611230048945294,102.27244985793962,synthetic inverse modeling grid point,6.220178728474583e-22,4.1026269919383435e-22
CS_00037,-450.0,250.0,0.7287925037280787,102.79488366363151,synthetic inverse modeling grid point,4.790245860488516e-22,3.1594899155061163e-22
