sample_id,concentration_Bq_m3,net_signal_counts,total_signal_counts,threshold_counts,detected,time_to_detection_s,localization_error_m,run_name
1,0.0003851368940443658,429.4065745159718,7585.67298299555,7410.816408479579,True,345.7551953028784,52.430248335868555,final
2,0.00024190605051638037,260.86724441080315,7613.575150935118,7607.257906524314,True,322.80768009983217,5.745506258666114,final
3,0.0004625843589240617,454.54519564856014,7713.187545944556,7513.192350295996,True,356.0345844973934,53.10908803127343,final
4,0.0004674240308833422,497.34906276776303,7588.501974036938,7345.702911269175,True,798.0570473692148,57.934869539683135,final
5,0.0002421978657233433,213.06452163693868,7384.7992901692805,7426.284768532342,False,,64.25166829593195,final
6,0.0002996342233146445,257.2520470351032,7387.368971371879,7384.666924336776,True,330.5763965439491,41.87116673451099,final
7,0.00019993210817624094,173.87966215866518,7283.9705972577985,7364.6409350991335,False,,38.990756560150224,final
8,0.00015385680780266334,157.5837023543972,7305.906854726143,7402.873152371746,False,,40.80829689303562,final
9,0.0007463328393732283,694.8843669702865,7888.598330162077,7448.263963191791,True,373.9996348384917,23.60092317735207,final
10,0.0003234787582569093,252.1605043344321,7552.526713649021,7554.916209314589,False,,76.62954205137773,final
11,0.0002626863786831767,249.46524585375943,7440.747897911356,7445.8326520575965,False,,98.70362765995135,final
12,0.00017412818938569992,179.51378511998547,7244.323300234779,7319.359515114794,False,,51.29102565960863,final
13,0.00023542225692254985,241.7650055788061,7290.252696765533,7303.037691186727,False,,105.29687256771818,final
14,0.00013021429788451252,132.47799827184974,7315.4341123318745,7437.506114060025,False,,110.69895719686052,final
15,0.0005587479984223928,508.9092278323549,7978.628267602581,7724.269039770226,True,364.0366419695788,17.549465141299542,final
16,0.00026112330950634377,249.73912477603716,7233.69978256262,7238.510657786584,False,,75.94272479638448,final
17,8.942882740967493e-05,77.58218563196674,7417.089140313345,7594.056954681378,False,,24.799344423513386,final
18,0.0001696506503236498,143.4647495867871,7224.636716656854,7335.721967070067,False,,19.832475311402153,final
19,0.0005249398383559205,559.0003728038702,7709.899965569742,7405.449592765872,True,502.205763241268,21.240961192716384,final
20,0.00022085204699265896,255.08029300855515,7408.007032091873,7407.4767390833185,True,272.8661938795771,62.06418367185269,final
21,0.0016132701540553006,1659.0131653480923,8749.151085749354,7344.687920401261,True,525.6782893951831,49.470201710971146,final
22,0.0005350617389222032,520.1812642709999,7696.634785417928,7431.003521146928,True,298.23169289797886,43.82161389013902,final
23,0.00027949541301047596,303.1485571797198,7322.050216113392,7273.451658933673,True,303.15847381371833,67.5788727481903,final
24,0.001087664154048142,1118.5029488025818,8380.523640742776,7516.5706919401955,True,378.5274958401833,25.54756391781752,final
25,0.0008885125710503325,872.6434601380904,8166.611737663936,7548.518277525845,True,519.1732816513318,38.54468446321607,final
26,0.0003534519451904515,342.4194044818028,7693.323486165752,7605.454081683949,True,351.70334645538355,32.1854855414038,final
27,0.000285305139222659,268.1510177193581,7471.144894119601,7457.543876400244,True,321.35032671547094,64.79779919054472,final
28,0.0006933656188125706,701.6616939509396,7901.9049823128125,7454.793288361873,True,215.19782203365324,28.85929223897702,final
29,0.0005917052013426772,556.2219216565197,7697.113949954061,7395.442028297542,True,300.052456840024,43.6066951130636,final
30,0.0002983461822332935,252.32968213513718,7402.503506684838,7404.723824549701,False,,63.85582985940222,final
31,0.0002603195353832929,248.18360947715573,7402.213889849962,7408.580280372806,False,,41.36261658803526,final
32,0.0003717813706420565,338.39425668190125,7397.681998217081,7313.83774153518,True,615.9535819639665,21.94534170412169,final
33,0.00043000445841029675,358.79261888235675,7464.176898430087,7359.9342795477305,True,375.44586836899254,121.22022777964564,final
34,0.0004101823649143495,405.1778610812423,7562.6497322009645,7412.021871119722,True,265.0300686752682,57.244741925246316,final
35,6.92291630198206e-05,62.742349567323444,7268.407895258839,7460.215545691515,False,,25.04573005432497,final
