sample_id,source_multiplier,wind_speed_mps,wind_dir_deg,background_mean_counts,response_error,sigma_y_multiplier,sigma_z_multiplier,Q_dot_Bq_s,response_factor,background_sigma_counts,threshold_n_sigma,x_m,y_m,run_name
1,1.201923658351058,2.8922197369269003,-9.889508357300045,7156.266408479579,1.1149453120596293,1.0596541309873666,0.9331690576938119,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
2,0.772308628147771,3.097819728733647,0.9558740695992257,7352.707906524314,1.078382470607691,1.0193227182133997,0.9265530747313607,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
3,1.1847634886705534,2.8087159044160814,9.546383819058363,7258.642350295996,0.9826211952038325,0.8924566212803677,0.9363533725703593,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
4,1.0074577888467708,1.2530432546100403,9.288410691425623,7091.152911269175,1.0640211668789648,1.2298563216511003,1.281708819084891,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
5,1.220513068167854,3.781568185179907,9.65388005019348,7171.734768532342,0.8797126308301869,1.319645360899291,0.9254158678113701,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
6,0.8451209017479376,3.025019361498948,6.1393795798588,7130.116924336776,0.858553619774481,0.7765146232956601,1.100382362351609,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
7,0.46386320665831304,2.0650617441282924,6.704146603713913,7110.090935099133,0.8696935361947447,1.1094004708316132,0.9280683969415011,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
8,0.642199417576922,3.569337791949469,-7.708946093903146,7148.323152371746,1.024223137116649,1.0452713284703978,1.0252516865412906,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
9,1.288771161098418,2.6737994020551406,3.087339469971611,7193.713963191791,0.9310649757202855,0.8367154834501197,0.7073439138941353,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
10,1.9830660627634542,3.9176577374522314,-13.143012262874063,7300.366209314589,0.7795272422004424,0.7817103852598519,1.8344802160618894,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
11,0.6750684999700393,2.1455515263747262,16.546762566989543,7191.282652057596,0.9496695150479685,1.3193962965000727,0.8319362940756231,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
12,0.5775208859498445,3.7197108546300113,-8.880945947339358,7064.809515114794,1.030928913654275,0.8622740815417632,0.9476284427389551,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
13,0.7982670641408585,3.5846635995105784,-18.926762989149513,7048.487691186727,1.026942009388445,0.7867388475605877,1.1018327627009705,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
14,0.9452687972466612,3.438594877002479,-16.623508113932083,7182.956114060024,1.0173844226334108,1.5516283325440023,1.2468721554465192,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
15,1.277358110976858,2.7469762235735775,-2.021035091598559,7469.719039770226,0.9108027756148459,1.148885793666135,0.6638331265535411,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
16,1.3130832412414488,2.8973871904783346,14.890339531082981,6983.960657786583,0.9564030313807353,1.0298205428193916,1.544445264053151,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
17,0.5775178157414699,3.337168863186813,-2.544277002895768,7339.5069546813775,0.8675299439694257,1.2415591881806909,1.4283552309800993,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
18,0.652866182456781,3.246758093112553,2.7251395015937274,7081.171967070067,0.8456480969161818,1.1241355560686703,0.9662600387991435,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
19,1.0000452904315398,1.9912156992104915,-3.8614290006441587,7150.899592765872,1.0648846438377113,0.9613236762100882,0.912044818299931,8.333333333333334,1000000.0,84.85,3.0,1000.0,0.0,final
