source_id,scenario_id,weather_id,x_m,y_m,z_m,x_downwind_m,y_crosswind_m,concentration_bq_m3,classification,concentration_Bq_m3
SRC_001,S1,W1,-500.0,-1000.0,0.0,-500.0,1000.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,-900.0,0.0,-500.0,900.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,-800.0,0.0,-500.0,800.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,-700.0,0.0,-500.0,700.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,-600.0,0.0,-500.0,600.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,-500.0,0.0,-500.0,500.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,-400.0,0.0,-500.0,400.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,-300.0,0.0,-500.0,300.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,-200.0,0.0,-500.0,200.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,-100.0,0.0,-500.0,100.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,0.0,0.0,-500.0,0.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,100.0,0.0,-500.0,100.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,200.0,0.0,-500.0,200.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,300.0,0.0,-500.0,300.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,400.0,0.0,-500.0,400.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,500.0,0.0,-500.0,500.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,600.0,0.0,-500.0,600.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,700.0,0.0,-500.0,700.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,800.0,0.0,-500.0,800.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,900.0,0.0,-500.0,900.0,0.0,upwind,0.0
SRC_001,S1,W1,-500.0,1000.0,0.0,-500.0,1000.0,0.0,upwind,0.0
SRC_001,S1,W1,-400.0,-1000.0,0.0,-400.0,1000.0,0.0,upwind,0.0
SRC_001,S1,W1,-400.0,-900.0,0.0,-400.0,900.0,0.0,upwind,0.0
SRC_001,S1,W1,-400.0,-800.0,0.0,-400.0,800.0,0.0,upwind,0.0
SRC_001,S1,W1,-400.0,-700.0,0.0,-400.0,700.0,0.0,upwind,0.0
SRC_001,S1,W1,-400.0,-600.0,0.0,-400.0,600.0,0.0,upwind,0.0
