candidate_source_id,x_m,y_m
CS_00001,-500.0,-500.0
CS_00002,-500.0,-450.0
CS_00003,-500.0,-400.0
CS_00004,-500.0,-350.0
CS_00005,-500.0,-300.0
CS_00006,-500.0,-250.0
CS_00007,-500.0,-200.0
CS_00008,-500.0,-150.0
CS_00009,-500.0,-100.0
CS_00010,-500.0,-50.0
CS_00011,-500.0,0.0
CS_00012,-500.0,50.0
CS_00013,-500.0,100.0
CS_00014,-500.0,150.0
CS_00015,-500.0,200.0
CS_00016,-500.0,250.0
CS_00017,-500.0,300.0
CS_00018,-500.0,350.0
CS_00019,-500.0,400.0
CS_00020,-500.0,450.0
CS_00021,-500.0,500.0
CS_00022,-450.0,-500.0
CS_00023,-450.0,-450.0
CS_00024,-450.0,-400.0
CS_00025,-450.0,-350.0
CS_00026,-450.0,-300.0
CS_00027,-450.0,-250.0
CS_00028,-450.0,-200.0
CS_00029,-450.0,-150.0
CS_00030,-450.0,-100.0
CS_00031,-450.0,-50.0
CS_00032,-450.0,0.0
CS_00033,-450.0,50.0
CS_00034,-450.0,100.0
CS_00035,-450.0,150.0
CS_00036,-450.0,200.0
CS_00037,-450.0,250.0
CS_00038,-450.0,300.0
CS_00039,-450.0,350.0
CS_00040,-450.0,400.0
CS_00041,-450.0,450.0
CS_00042,-450.0,500.0
CS_00043,-400.0,-500.0
CS_00044,-400.0,-450.0
CS_00045,-400.0,-400.0
CS_00046,-400.0,-350.0
CS_00047,-400.0,-300.0
CS_00048,-400.0,-250.0
CS_00049,-400.0,-200.0
CS_00050,-400.0,-150.0
CS_00051,-400.0,-100.0
CS_00052,-400.0,-50.0
CS_00053,-400.0,0.0
CS_00054,-400.0,50.0
CS_00055,-400.0,100.0
CS_00056,-400.0,150.0
CS_00057,-400.0,200.0
CS_00058,-400.0,250.0
CS_00059,-400.0,300.0
CS_00060,-400.0,350.0
CS_00061,-400.0,400.0
CS_00062,-400.0,450.0
CS_00063,-400.0,500.0
CS_00064,-350.0,-500.0
CS_00065,-350.0,-450.0
CS_00066,-350.0,-400.0
CS_00067,-350.0,-350.0
CS_00068,-350.0,-300.0
CS_00069,-350.0,-250.0
CS_00070,-350.0,-200.0
CS_00071,-350.0,-150.0
CS_00072,-350.0,-100.0
CS_00073,-350.0,-50.0
CS_00074,-350.0,0.0
CS_00075,-350.0,50.0
CS_00076,-350.0,100.0
CS_00077,-350.0,150.0
CS_00078,-350.0,200.0
CS_00079,-350.0,250.0
CS_00080,-350.0,300.0
CS_00081,-350.0,350.0
CS_00082,-350.0,400.0
CS_00083,-350.0,450.0
CS_00084,-350.0,500.0
CS_00085,-300.0,-500.0
CS_00086,-300.0,-450.0
CS_00087,-300.0,-400.0
CS_00088,-300.0,-350.0
CS_00089,-300.0,-300.0
CS_00090,-300.0,-250.0
CS_00091,-300.0,-200.0
CS_00092,-300.0,-150.0
CS_00093,-300.0,-100.0
CS_00094,-300.0,-50.0
CS_00095,-300.0,0.0
CS_00096,-300.0,50.0
CS_00097,-300.0,100.0
CS_00098,-300.0,150.0
CS_00099,-300.0,200.0
CS_00100,-300.0,250.0
CS_00101,-300.0,300.0
CS_00102,-300.0,350.0
CS_00103,-300.0,400.0
CS_00104,-300.0,450.0
CS_00105,-300.0,500.0
CS_00106,-250.0,-500.0
CS_00107,-250.0,-450.0
CS_00108,-250.0,-400.0
CS_00109,-250.0,-350.0
CS_00110,-250.0,-300.0
CS_00111,-250.0,-250.0
CS_00112,-250.0,-200.0
CS_00113,-250.0,-150.0
CS_00114,-250.0,-100.0
CS_00115,-250.0,-50.0
CS_00116,-250.0,0.0
CS_00117,-250.0,50.0
CS_00118,-250.0,100.0
CS_00119,-250.0,150.0
CS_00120,-250.0,200.0
CS_00121,-250.0,250.0
CS_00122,-250.0,300.0
CS_00123,-250.0,350.0
CS_00124,-250.0,400.0
CS_00125,-250.0,450.0
CS_00126,-250.0,500.0
CS_00127,-200.0,-500.0
CS_00128,-200.0,-450.0
CS_00129,-200.0,-400.0
CS_00130,-200.0,-350.0
CS_00131,-200.0,-300.0
CS_00132,-200.0,-250.0
CS_00133,-200.0,-200.0
CS_00134,-200.0,-150.0
CS_00135,-200.0,-100.0
CS_00136,-200.0,-50.0
CS_00137,-200.0,0.0
CS_00138,-200.0,50.0
CS_00139,-200.0,100.0
CS_00140,-200.0,150.0
CS_00141,-200.0,200.0
CS_00142,-200.0,250.0
CS_00143,-200.0,300.0
CS_00144,-200.0,350.0
CS_00145,-200.0,400.0
CS_00146,-200.0,450.0
CS_00147,-200.0,500.0
CS_00148,-150.0,-500.0
CS_00149,-150.0,-450.0
CS_00150,-150.0,-400.0
CS_00151,-150.0,-350.0
CS_00152,-150.0,-300.0
CS_00153,-150.0,-250.0
CS_00154,-150.0,-200.0
CS_00155,-150.0,-150.0
CS_00156,-150.0,-100.0
CS_00157,-150.0,-50.0
CS_00158,-150.0,0.0
CS_00159,-150.0,50.0
CS_00160,-150.0,100.0
CS_00161,-150.0,150.0
CS_00162,-150.0,200.0
CS_00163,-150.0,250.0
CS_00164,-150.0,300.0
CS_00165,-150.0,350.0
CS_00166,-150.0,400.0
CS_00167,-150.0,450.0
CS_00168,-150.0,500.0
CS_00169,-100.0,-500.0
CS_00170,-100.0,-450.0
CS_00171,-100.0,-400.0
CS_00172,-100.0,-350.0
CS_00173,-100.0,-300.0
CS_00174,-100.0,-250.0
CS_00175,-100.0,-200.0
CS_00176,-100.0,-150.0
CS_00177,-100.0,-100.0
CS_00178,-100.0,-50.0
CS_00179,-100.0,0.0
CS_00180,-100.0,50.0
CS_00181,-100.0,100.0
CS_00182,-100.0,150.0
CS_00183,-100.0,200.0
CS_00184,-100.0,250.0
CS_00185,-100.0,300.0
CS_00186,-100.0,350.0
CS_00187,-100.0,400.0
CS_00188,-100.0,450.0
CS_00189,-100.0,500.0
CS_00190,-50.0,-500.0
CS_00191,-50.0,-450.0
CS_00192,-50.0,-400.0
CS_00193,-50.0,-350.0
CS_00194,-50.0,-300.0
CS_00195,-50.0,-250.0
CS_00196,-50.0,-200.0
CS_00197,-50.0,-150.0
CS_00198,-50.0,-100.0
CS_00199,-50.0,-50.0
CS_00200,-50.0,0.0
