candidate_source_id,x_m,y_m,Q_hat_Bq_s,J,description
CS_00001,-500.0,-500.0,2.411842388860577e-05,6800.976348119995,synthetic inverse modeling grid point
CS_00002,-500.0,-450.0,9.442015749339794e-05,6800.731491965747,synthetic inverse modeling grid point
CS_00003,-500.0,-400.0,0.0009243327815012808,6798.051758606898,synthetic inverse modeling grid point
CS_00004,-500.0,-350.0,0.0037621399249722952,6789.809135658748,synthetic inverse modeling grid point
CS_00005,-500.0,-300.0,0.011667305379991628,6768.120384005094,synthetic inverse modeling grid point
CS_00006,-500.0,-250.0,0.033547510498857624,6709.064506360555,synthetic inverse modeling grid point
CS_00007,-500.0,-200.0,0.10657598628892953,6520.427735525635,synthetic inverse modeling grid point
CS_00008,-500.0,-150.0,0.3223667038193898,6037.914261683524,synthetic inverse modeling grid point
CS_00009,-500.0,-100.0,0.7997843403140885,5244.624148014394,synthetic inverse modeling grid point
CS_00010,-500.0,-50.0,1.8756018863078783,3907.2462343426587,synthetic inverse modeling grid point
CS_00011,-500.0,0.0,3.386278705579261,2139.8640993468052,synthetic inverse modeling grid point
CS_00012,-500.0,50.0,1.8756018863078783,3907.2462343426587,synthetic inverse modeling grid point
CS_00013,-500.0,100.0,0.7997843403140887,5244.624148014394,synthetic inverse modeling grid point
CS_00014,-500.0,150.0,0.3223667038193898,6037.914261683524,synthetic inverse modeling grid point
CS_00015,-500.0,200.0,0.10657598628892953,6520.427735525636,synthetic inverse modeling grid point
CS_00016,-500.0,250.0,0.03354751049885762,6709.064506360555,synthetic inverse modeling grid point
CS_00017,-500.0,300.0,0.011667305379991626,6768.120384005094,synthetic inverse modeling grid point
CS_00018,-500.0,350.0,0.003762139924972296,6789.809135658749,synthetic inverse modeling grid point
CS_00019,-500.0,400.0,0.0009243327815012808,6798.051758606898,synthetic inverse modeling grid point
CS_00020,-500.0,450.0,9.442015749339791e-05,6800.731491965748,synthetic inverse modeling grid point
CS_00021,-500.0,500.0,2.4118423888605774e-05,6800.976348119995,synthetic inverse modeling grid point
CS_00022,-450.0,-500.0,1.7242371989773835e-05,6801.001319609419,synthetic inverse modeling grid point
CS_00023,-450.0,-450.0,9.296575567506515e-05,6800.731569743226,synthetic inverse modeling grid point
CS_00024,-450.0,-400.0,0.0009610975195529994,6797.900014422476,synthetic inverse modeling grid point
CS_00025,-450.0,-350.0,0.003997649605643687,6789.039587696199,synthetic inverse modeling grid point
CS_00026,-450.0,-300.0,0.012148615961075361,6766.5553613046995,synthetic inverse modeling grid point
CS_00027,-450.0,-250.0,0.0360865859084865,6700.725867464717,synthetic inverse modeling grid point
CS_00028,-450.0,-200.0,0.12002696278615627,6477.584090701152,synthetic inverse modeling grid point
CS_00029,-450.0,-150.0,0.3597731938916296,5928.068119187095,synthetic inverse modeling grid point
CS_00030,-450.0,-100.0,0.8409947341374141,5145.503933276703,synthetic inverse modeling grid point
CS_00031,-450.0,-50.0,1.9357028410972235,3856.5015126290673,synthetic inverse modeling grid point
CS_00032,-450.0,0.0,3.6163054485242,1970.1445172968033,synthetic inverse modeling grid point
CS_00033,-450.0,50.0,1.9357028410972235,3856.501512629067,synthetic inverse modeling grid point
