candidate_source_id,source_x_m,source_y_m,detector_id,x_m,y_m,z_m,x_downwind_m,y_crosswind_m,sigma_y_m,sigma_z_m,response_per_Bq_s,true_concentration_Bq_m3,wind_speed_mps,wind_dir_deg,stability_class,sigma_multiplier,observed_concentration_Bq_m3,sigma_Bq_m3,source_strength_Bq_s,noise_fraction,noise_floor_Bq_m3,description
,0.0,0.0,D001,500.0,0.0,1.5,500.0,0.0,39.03600291794133,22.677868380553637,0.00011959452031744003,0.0009966210026453337,3.0,0.0,D,1.0,0.0009966210026453337,4.983105013226668e-05,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D002,1000.0,0.0,1.5,1000.0,0.0,76.27700713964738,37.94733192202055,3.6628125163383925e-05,0.00030523437636153274,3.0,0.0,D,1.0,0.00030523437636153274,1.5261718818076637e-05,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D003,1000.0,200.0,1.5,1000.0,200.0,76.27700713964738,37.94733192202055,1.1774091540591997e-06,9.811742950493332e-06,3.0,0.0,D,1.0,9.811742950493332e-06,4.905871475246666e-07,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D004,1000.0,-200.0,1.5,1000.0,-200.0,76.27700713964738,37.94733192202055,1.1774091540591997e-06,9.811742950493332e-06,3.0,0.0,D,1.0,9.811742950493332e-06,4.905871475246666e-07,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D005,2000.0,0.0,1.5,2000.0,0.0,146.0593486680443,60.0,1.2103543783440827e-05,0.00010086286486200689,3.0,0.0,D,1.0,0.00010086286486200689,5.043143243100345e-06,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D006,2000.0,300.0,1.5,2000.0,300.0,146.0593486680443,60.0,1.4683264522516482e-06,1.2236053768763736e-05,3.0,0.0,D,1.0,1.2236053768763736e-05,6.118026884381869e-07,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D007,2000.0,-300.0,1.5,2000.0,-300.0,146.0593486680443,60.0,1.4683264522516482e-06,1.2236053768763736e-05,3.0,0.0,D,1.0,1.2236053768763736e-05,6.118026884381869e-07,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D008,3000.0,0.0,1.5,3000.0,0.0,210.49392463368702,76.75225788801976,6.5662166570563e-06,5.471847214213584e-05,3.0,0.0,D,1.0,5.471847214213584e-05,2.7359236071067923e-06,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D009,3000.0,500.0,1.5,3000.0,500.0,210.49392463368702,76.75225788801976,3.909237541405488e-07,3.25769795117124e-06,3.0,0.0,D,1.0,3.25769795117124e-06,1.6288489755856202e-07,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D010,3000.0,-500.0,1.5,3000.0,-500.0,210.49392463368702,76.75225788801976,3.909237541405488e-07,3.25769795117124e-06,3.0,0.0,D,1.0,3.25769795117124e-06,1.6288489755856202e-07,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D011,0.0,500.0,1.5,0.0,500.0,,,0.0,0.0,3.0,0.0,D,1.0,0.0,1e-08,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D012,0.0,-500.0,1.5,0.0,-500.0,,,0.0,0.0,3.0,0.0,D,1.0,0.0,1e-08,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D013,-500.0,0.0,1.5,-500.0,0.0,,,0.0,0.0,3.0,0.0,D,1.0,0.0,1e-08,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D014,500.0,500.0,1.5,500.0,500.0,39.03600291794133,22.677868380553637,2.8313402483006588e-40,2.3594502069172158e-39,3.0,0.0,D,1.0,2.3594502069172158e-39,1e-08,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D015,500.0,-500.0,1.5,500.0,-500.0,39.03600291794133,22.677868380553637,2.8313402483006588e-40,2.3594502069172158e-39,3.0,0.0,D,1.0,2.3594502069172158e-39,1e-08,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D016,1500.0,500.0,1.5,1500.0,500.0,111.90057698883766,49.923017660270624,8.769901140795077e-10,7.308250950662565e-09,3.0,0.0,D,1.0,7.308250950662565e-09,1e-08,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D017,1500.0,-500.0,1.5,1500.0,-500.0,111.90057698883766,49.923017660270624,8.769901140795077e-10,7.308250950662565e-09,3.0,0.0,D,1.0,7.308250950662565e-09,1e-08,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D018,2500.0,250.0,1.5,2500.0,250.0,178.88543819998318,68.82472016116853,3.2448197690307624e-06,2.7040164741923023e-05,3.0,0.0,D,1.0,2.7040164741923023e-05,1.3520082370961512e-06,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D019,2500.0,-250.0,1.5,2500.0,-250.0,178.88543819998318,68.82472016116853,3.2448197690307624e-06,2.7040164741923023e-05,3.0,0.0,D,1.0,2.7040164741923023e-05,1.3520082370961512e-06,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
,0.0,0.0,D020,3500.0,0.0,1.5,3500.0,0.0,240.9856304306837,84.0,5.2406987510716555e-06,4.3672489592263796e-05,3.0,0.0,D,1.0,4.3672489592263796e-05,2.1836244796131897e-06,8.333333333333334,0.05,1e-08,synthetic inverse modeling observation
