detector_id,scenario_id,background_mean_counts,background_sigma_counts,integration_time_s,noise_model,seed,notes
D001,S1,7200.0,84.85,60.0,normal,1001,baseline background
D002,S1,7200.0,84.85,60.0,normal,1002,baseline background
D003,S1,7200.0,84.85,60.0,normal,1003,baseline background
D004,S1,7200.0,84.85,60.0,normal,1004,baseline background
D005,S1,7200.0,84.85,60.0,normal,1005,baseline background
D006,S1,7200.0,84.85,60.0,normal,1006,baseline background
D007,S1,7200.0,84.85,60.0,normal,1007,baseline background
D008,S1,7200.0,84.85,60.0,normal,1008,baseline background
D009,S1,7200.0,84.85,60.0,normal,1009,baseline background
D010,S1,7200.0,84.85,60.0,normal,1010,baseline background
D011,S1,7200.0,84.85,60.0,normal,1011,baseline background
D012,S1,7200.0,84.85,60.0,normal,1012,baseline background
D013,S1,7200.0,84.85,60.0,normal,1013,baseline background
D014,S1,7200.0,84.85,60.0,normal,1014,baseline background
D015,S1,7200.0,84.85,60.0,normal,1015,baseline background
D016,S1,7200.0,84.85,60.0,normal,1016,baseline background
D017,S1,7200.0,84.85,60.0,normal,1017,baseline background
D018,S1,7200.0,84.85,60.0,normal,1018,baseline background
D019,S1,7200.0,84.85,60.0,normal,1019,baseline background
D020,S1,7200.0,84.85,60.0,normal,1020,baseline background
D021,S1,7200.0,84.85,60.0,normal,1021,baseline background
D022,S1,7200.0,84.85,60.0,normal,1022,baseline background
D023,S1,7200.0,84.85,60.0,normal,1023,baseline background
D024,S1,7200.0,84.85,60.0,normal,1024,baseline background
D001,S5,9000.0,94.87,60.0,normal,5001,elevated background synthetic case
D002,S5,9000.0,94.87,60.0,normal,5002,elevated background synthetic case
D003,S5,9000.0,94.87,60.0,normal,5003,elevated background synthetic case
D004,S5,9000.0,94.87,60.0,normal,5004,elevated background synthetic case
D005,S5,9000.0,94.87,60.0,normal,5005,elevated background synthetic case
D006,S5,9000.0,94.87,60.0,normal,5006,elevated background synthetic case
D007,S5,9000.0,94.87,60.0,normal,5007,elevated background synthetic case
D008,S5,9000.0,94.87,60.0,normal,5008,elevated background synthetic case
D009,S5,9000.0,94.87,60.0,normal,5009,elevated background synthetic case
D010,S5,9000.0,94.87,60.0,normal,5010,elevated background synthetic case
D011,S5,9000.0,94.87,60.0,normal,5011,elevated background synthetic case
D012,S5,9000.0,94.87,60.0,normal,5012,elevated background synthetic case
D013,S5,9000.0,94.87,60.0,normal,5013,elevated background synthetic case
D014,S5,9000.0,94.87,60.0,normal,5014,elevated background synthetic case
D015,S5,9000.0,94.87,60.0,normal,5015,elevated background synthetic case
D016,S5,9000.0,94.87,60.0,normal,5016,elevated background synthetic case
D017,S5,9000.0,94.87,60.0,normal,5017,elevated background synthetic case
D018,S5,9000.0,94.87,60.0,normal,5018,elevated background synthetic case
D019,S5,9000.0,94.87,60.0,normal,5019,elevated background synthetic case
D020,S5,9000.0,94.87,60.0,normal,5020,elevated background synthetic case
D021,S5,9000.0,94.87,60.0,normal,5021,elevated background synthetic case
D022,S5,9000.0,94.87,60.0,normal,5022,elevated background synthetic case
D023,S5,9000.0,94.87,60.0,normal,5023,elevated background synthetic case
D024,S5,9000.0,94.87,60.0,normal,5024,elevated background synthetic case
